created_at,entry_id,field2
2015-12-06 05:36:16 UTC,17815,72
2015-12-06 05:42:16 UTC,17827,72
2015-12-06 05:51:14 UTC,17844,73
2015-12-06 05:57:09 UTC,17855,73
2015-12-06 06:00:07 UTC,17861,73
2015-12-06 06:06:06 UTC,17873,72
2015-12-06 06:09:05 UTC,17878,73
2015-12-06 06:12:04 UTC,17884,72
2015-12-06 06:15:03 UTC,17890,74
2015-12-06 06:20:58 UTC,17902,73
2015-12-06 06:26:55 UTC,17913,73
2015-12-06 06:32:49 UTC,17924,72
2015-12-06 06:35:48 UTC,17930,73
2015-12-06 06:41:43 UTC,17942,72
2015-12-06 06:47:38 UTC,17953,72
2015-12-06 06:50:38 UTC,17959,73
2015-12-06 06:56:37 UTC,17971,73
2015-12-06 07:02:33 UTC,17982,72
2015-12-06 07:05:30 UTC,17988,72
2015-12-06 07:11:27 UTC,18000,72
2015-12-06 07:17:24 UTC,18011,73
2015-12-06 07:20:23 UTC,18017,73
2015-12-06 07:26:19 UTC,18029,73
2015-12-06 07:32:15 UTC,18040,74
2015-12-06 07:38:11 UTC,18051,71
2015-12-06 07:41:07 UTC,18057,71
2015-12-06 07:47:03 UTC,18069,71
2015-12-06 07:52:56 UTC,18080,71
2015-12-06 07:58:54 UTC,18091,68
2015-12-06 08:01:54 UTC,18097,74
2015-12-06 08:07:52 UTC,18108,71
2015-12-06 08:10:52 UTC,18114,73
2015-12-06 08:16:46 UTC,18126,71
2015-12-06 08:22:46 UTC,18137,72
2015-12-06 08:25:43 UTC,18143,71
2015-12-06 08:31:43 UTC,18155,71
2015-12-06 08:40:43 UTC,18172,71
2015-12-06 08:46:41 UTC,18183,71
2015-12-06 08:49:38 UTC,18189,72
2015-12-06 08:55:33 UTC,18201,71
2015-12-06 09:01:30 UTC,18212,71
2015-12-06 09:07:25 UTC,18223,71
2015-12-06 09:10:24 UTC,18229,71
2015-12-06 09:16:22 UTC,18241,73
2015-12-06 09:22:18 UTC,18252,72
2015-12-06 09:25:18 UTC,18258,71
2015-12-06 09:31:13 UTC,18269,71
2015-12-06 09:37:10 UTC,18280,72
2015-12-06 09:40:07 UTC,18286,71
2015-12-06 09:46:05 UTC,18298,71
2015-12-06 09:52:01 UTC,18309,71
2015-12-06 09:54:59 UTC,18315,71
2015-12-06 10:01:00 UTC,18327,71
2015-12-06 10:03:59 UTC,18333,71
2015-12-06 10:06:55 UTC,18339,71
2015-12-06 10:09:52 UTC,18345,71
2015-12-06 10:15:51 UTC,18357,71
2015-12-06 10:21:47 UTC,18368,71
2015-12-06 10:24:47 UTC,18374,71
2015-12-06 10:30:41 UTC,18385,71
2015-12-06 10:36:36 UTC,18396,71
2015-12-06 10:39:34 UTC,18402,71
2015-12-06 10:45:33 UTC,18414,71
2015-12-06 10:51:27 UTC,18425,71
2015-12-06 10:57:21 UTC,18436,71
2015-12-06 11:00:23 UTC,18442,70
2015-12-06 11:06:19 UTC,18453,71
2015-12-06 11:12:13 UTC,18464,71
2015-12-06 11:15:13 UTC,18470,71
2015-12-06 11:21:11 UTC,18482,71
2015-12-06 11:30:08 UTC,18499,71
2015-12-06 11:36:03 UTC,18510,72
2015-12-06 11:41:59 UTC,18521,70
2015-12-06 11:44:57 UTC,18527,70
2015-12-06 11:50:52 UTC,18539,70
2015-12-06 11:56:50 UTC,18550,70
2015-12-06 11:59:49 UTC,18556,70
2015-12-06 12:05:52 UTC,18568,70
2015-12-06 12:08:51 UTC,18574,70
2015-12-06 12:14:46 UTC,18586,70
2015-12-06 12:20:42 UTC,18597,70
2015-12-06 12:29:38 UTC,18614,70
2015-12-06 12:35:35 UTC,18625,70
2015-12-06 12:38:34 UTC,18631,70
2015-12-06 12:44:32 UTC,18643,71
2015-12-06 12:50:27 UTC,18654,70
2015-12-06 12:53:25 UTC,18660,73
2015-12-06 12:59:23 UTC,18672,70
2015-12-06 13:05:21 UTC,18683,70
2015-12-06 13:08:24 UTC,18689,70
2015-12-06 13:14:18 UTC,18700,70
2015-12-06 13:17:19 UTC,18706,70
2015-12-06 13:23:17 UTC,18718,70
2015-12-06 13:29:12 UTC,18729,70
2015-12-06 13:32:12 UTC,18735,70
2015-12-06 13:38:09 UTC,18747,70
2015-12-06 13:44:05 UTC,18758,70
2015-12-06 13:50:00 UTC,18769,70
2015-12-06 13:52:58 UTC,18775,70
2015-12-06 13:58:54 UTC,18787,70
2015-12-06 14:04:49 UTC,18798,73
2015-12-06 14:07:47 UTC,18804,73
2015-12-06 14:13:44 UTC,18816,73
2015-12-06 14:19:39 UTC,18827,73
2015-12-06 14:25:35 UTC,18838,71
2015-12-06 14:28:33 UTC,18844,73
2015-12-06 14:34:28 UTC,18856,71
2015-12-06 14:40:24 UTC,18867,71
2015-12-06 14:43:23 UTC,18873,68
2015-12-06 14:49:21 UTC,18885,71
2015-12-06 14:55:17 UTC,18896,73
2015-12-06 14:58:15 UTC,18902,71
2015-12-06 15:04:13 UTC,18914,71
2015-12-06 15:10:11 UTC,18925,70
2015-12-06 15:13:09 UTC,18931,71
2015-12-06 15:19:07 UTC,18943,71
2015-12-06 15:25:04 UTC,18954,73
2015-12-06 15:28:01 UTC,18960,71
2015-12-06 15:34:01 UTC,18972,71
2015-12-06 15:42:56 UTC,18989,71
2015-12-06 15:48:56 UTC,19000,71
2015-12-06 15:51:53 UTC,19006,71
2015-12-06 15:54:50 UTC,19012,71
2015-12-06 15:57:47 UTC,19018,71
2015-12-06 16:03:44 UTC,19030,71
2015-12-06 16:09:38 UTC,19041,71
2015-12-06 16:12:36 UTC,19047,73
2015-12-06 16:18:31 UTC,19059,71
2015-12-06 16:24:27 UTC,19070,71
2015-12-06 16:30:21 UTC,19081,71
2015-12-06 16:33:19 UTC,19087,71
2015-12-06 16:39:15 UTC,19099,71
2015-12-06 16:45:11 UTC,19110,72
2015-12-06 16:54:07 UTC,19127,71
2015-12-06 17:00:03 UTC,19138,71
2015-12-06 17:05:59 UTC,19149,71
2015-12-06 17:08:57 UTC,19155,71
2015-12-06 17:14:57 UTC,19167,71
2015-12-06 17:17:55 UTC,19173,71
2015-12-06 17:23:51 UTC,19185,71
2015-12-06 17:29:47 UTC,19196,71
2015-12-06 17:35:43 UTC,19207,71
2015-12-06 17:38:40 UTC,19213,71
2015-12-06 17:44:36 UTC,19225,71
2015-12-06 17:50:31 UTC,19236,71
2015-12-06 17:53:30 UTC,19242,72
2015-12-06 17:59:29 UTC,19254,71
2015-12-06 18:05:21 UTC,19265,69
2015-12-06 18:11:18 UTC,19276,71
2015-12-06 18:14:14 UTC,19282,71
2015-12-06 18:20:13 UTC,19294,71
2015-12-06 18:26:07 UTC,19305,70
2015-12-06 18:29:11 UTC,19311,71
2015-12-06 18:35:05 UTC,19322,71
2015-12-06 18:41:00 UTC,19333,73
2015-12-06 18:43:58 UTC,19339,71
2015-12-06 18:49:54 UTC,19351,72
2015-12-06 18:55:49 UTC,19362,71
2015-12-06 19:01:44 UTC,19373,70
2015-12-06 19:04:45 UTC,19379,71
2015-12-06 19:10:41 UTC,19390,70
2015-12-06 19:16:37 UTC,19401,72
2015-12-06 19:19:35 UTC,19407,70
2015-12-06 19:25:31 UTC,19419,70
2015-12-06 19:31:26 UTC,19430,70
2015-12-06 19:34:25 UTC,19436,70
2015-12-06 19:40:22 UTC,19448,72
2015-12-06 19:46:18 UTC,19459,70
2015-12-06 19:49:18 UTC,19465,70
2015-12-06 19:55:16 UTC,19477,70
2015-12-06 20:01:11 UTC,19488,70
2015-12-06 20:04:13 UTC,19494,70
2015-12-06 20:10:08 UTC,19505,70
2015-12-06 20:16:03 UTC,19516,70
2015-12-06 20:19:01 UTC,19522,70
2015-12-06 20:25:00 UTC,19534,70
2015-12-06 20:30:59 UTC,19545,70
2015-12-06 20:34:00 UTC,19551,70
2015-12-06 20:39:56 UTC,19562,70
2015-12-06 20:45:51 UTC,19573,71
2015-12-06 20:48:49 UTC,19579,70
2015-12-06 20:54:47 UTC,19591,70
2015-12-06 21:00:45 UTC,19602,70
2015-12-06 21:06:40 UTC,19613,71
2015-12-06 21:12:38 UTC,19624,70
2015-12-06 21:15:35 UTC,19630,70
2015-12-06 21:21:30 UTC,19642,70
2015-12-06 21:27:30 UTC,19653,70
2015-12-06 21:30:28 UTC,19659,70
2015-12-06 21:36:27 UTC,19671,70
2015-12-06 21:42:26 UTC,19682,70
2015-12-06 21:45:26 UTC,19688,71
2015-12-06 21:51:24 UTC,19699,70
2015-12-06 21:54:24 UTC,19705,70
2015-12-06 22:00:22 UTC,19717,71
2015-12-06 22:06:17 UTC,19728,72
2015-12-06 22:09:16 UTC,19734,70
2015-12-06 22:15:14 UTC,19746,71
2015-12-06 22:21:08 UTC,19757,69
2015-12-06 22:24:09 UTC,19763,69
2015-12-06 22:30:10 UTC,19775,69
2015-12-06 22:39:06 UTC,19792,68
2015-12-06 22:45:02 UTC,19803,69
2015-12-06 22:53:58 UTC,19820,69
2015-12-06 22:59:57 UTC,19831,69
2015-12-06 23:02:57 UTC,19837,71
2015-12-06 23:08:52 UTC,19849,69
2015-12-06 23:14:51 UTC,19860,69
2015-12-06 23:23:44 UTC,19877,69
2015-12-06 23:29:41 UTC,19888,69
2015-12-06 23:35:37 UTC,19899,69
2015-12-06 23:38:35 UTC,19905,69
2015-12-06 23:44:29 UTC,19917,69
2015-12-06 23:50:28 UTC,19928,69
2015-12-06 23:53:28 UTC,19934,69
2015-12-06 23:59:23 UTC,19946,69
2015-12-07 00:05:21 UTC,19957,69
2015-12-07 00:08:20 UTC,19963,69
2015-12-07 00:14:19 UTC,19975,69
2015-12-07 00:20:14 UTC,19986,69
2015-12-07 00:23:13 UTC,19992,69
2015-12-07 00:29:12 UTC,20003,69
2015-12-07 00:32:11 UTC,20009,69
2015-12-07 00:38:06 UTC,20021,69
2015-12-07 00:44:05 UTC,20032,69
2015-12-07 00:47:03 UTC,20038,69
2015-12-07 00:52:58 UTC,20050,70
2015-12-07 00:58:58 UTC,20061,69
2015-12-07 01:01:57 UTC,20067,69
2015-12-07 01:07:55 UTC,20079,69
2015-12-07 01:13:51 UTC,20090,69
2015-12-07 01:16:48 UTC,20096,69
2015-12-07 01:22:49 UTC,20108,69
2015-12-07 01:28:44 UTC,20119,70
2015-12-07 01:31:47 UTC,20125,69
2015-12-07 01:37:44 UTC,20136,68
2015-12-07 01:40:43 UTC,20142,68
2015-12-07 01:43:38 UTC,20148,68
2015-12-07 01:46:38 UTC,20154,68
2015-12-07 01:52:36 UTC,20165,68
2015-12-07 01:58:31 UTC,20176,68
2015-12-07 02:01:31 UTC,20182,70
2015-12-07 02:07:31 UTC,20193,68
2015-12-07 02:10:29 UTC,20199,68
2015-12-07 02:16:25 UTC,20211,68
2015-12-07 02:22:21 UTC,20222,68
2015-12-07 02:25:19 UTC,20228,68
2015-12-07 02:31:13 UTC,20240,68
2015-12-07 02:37:18 UTC,20252,67
2015-12-07 02:43:12 UTC,20263,68
2015-12-07 02:46:21 UTC,20269,69
2015-12-07 02:49:19 UTC,20275,68
2015-12-07 02:55:15 UTC,20287,68
2015-12-07 03:01:11 UTC,20298,68
2015-12-07 03:10:07 UTC,20315,68
2015-12-07 03:16:01 UTC,20326,68
2015-12-07 03:19:04 UTC,20332,68
2015-12-07 03:24:57 UTC,20343,69
2015-12-07 03:30:57 UTC,20355,68
2015-12-07 03:36:53 UTC,20366,69
2015-12-07 03:39:51 UTC,20372,68
2015-12-07 03:45:46 UTC,20384,68
2015-12-07 03:51:45 UTC,20394,68
2015-12-07 04:03:34 UTC,20416,68
2015-12-07 04:06:32 UTC,20422,69
2015-12-07 04:09:29 UTC,20428,68
